,states_mentioned,post_count,avg_sentiment,state_fips
0,Alabama,155,-0.1597229690832258,01
1,Alaska,176,-0.09439417227840909,02
2,Arizona,289,0.041123699370934255,04
3,Arkansas,53,-0.05115897841698113,05
4,California,3411,-0.16655044397655028,06
5,Colorado,580,0.09078701554,08
6,Connecticut,64,0.093753807578125,09
7,Delaware,150,-0.22776916172466666,10
8,Florida,1095,-0.05475590627689498,12
9,Georgia,328,-0.07033844395487804,13
10,Hawaii,142,-0.09747704798204225,15
11,Idaho,63,0.07133780532857142,16
12,Illinois,218,-0.04901683371192661,17
13,Indiana,123,-0.10990515478845529,18
14,Iowa,87,-0.003959067200000006,19
15,Kansas,87,0.02716135868747126,20
16,Kentucky,82,-0.024252814814634146,21
17,Louisiana,66,-0.03585884998484849,22
18,Maine,111,0.0230336305945946,23
19,Maryland,156,-0.11380678337698719,24
20,Massachusetts,146,-0.050767776076712325,25
21,Michigan,468,-0.06885448930004273,26
22,Minnesota,181,-0.023711492944751375,27
23,Mississippi,45,-0.09053270966222222,28
24,Missouri,86,-0.04211071135232559,29
25,Montana,103,-0.004505395854368931,30
26,Nebraska,46,-0.07192986565217392,31
27,Nevada,200,-0.0397233010225,32
28,New Hampshire,50,-0.109142184344,33
29,New Jersey,87,-0.10922447691954022,34
30,New Mexico,57,-0.0013713779919298297,35
31,New York,257,-0.13638688083789885,36
32,North Carolina,80,-0.028997997187499996,37
33,North Dakota,21,-0.019354196333333334,38
34,Ohio,400,-0.140182846960615,39
35,Oklahoma,95,-0.12104825163263158,40
36,Oregon,290,-0.024934570656793102,41
37,Pennsylvania,118,-0.011907622403389832,42
38,Rhode Island,31,0.06857389793548388,44
39,South Carolina,62,-0.10098420947903226,45
40,South Dakota,10,-0.1699564078,46
41,Tennessee,111,-0.01032925727137838,47
42,Texas,1778,-0.14193638929858268,48
43,Utah,148,0.21593562132067567,49
44,Vermont,102,0.03626616020000001,50
45,Virginia,184,0.016969540820652173,51
46,Washington,256,-0.13163738802890626,53
47,West Virginia,46,-0.08918068752173912,54
48,Wisconsin,221,-0.12942399509547511,55
49,Wyoming,68,-0.10393935464558823,56
